MOF,Ground_State_Energy
str_m2_o10_o18_pcu_sym.169.cif,-1.4422205101767092
str_m2_o10_o18_pcu_sym.21.cif,-1.4422205101847125
str_m2_o10_o18_pcu_sym.24.cif,-1.4422205101855876
str_m2_o10_o18_pcu_sym.25.cif,-1.442220510152529
str_m2_o10_o18_pcu_sym.26.cif,-1.4422205101764223
str_m2_o10_o18_pcu_sym.31.cif,-1.4422205101851842
str_m2_o10_o18_pcu_sym.32.cif,-1.4422205101855732
str_m2_o10_o18_pcu_sym.33.cif,-1.442220510179874
str_m2_o10_o18_pcu_sym.36.cif,-1.4422205101833692
str_m2_o10_o18_pcu_sym.40.cif,-1.4422205101317451
str_m2_o10_o18_pcu_sym.44.cif,-1.442220510178204
str_m2_o10_o18_pcu_sym.45.cif,-1.4422205101816203
str_m2_o10_o18_pcu_sym.51.cif,-1.4422205101855892
str_m2_o10_o18_pcu_sym.53.cif,-1.4422205101855947
str_m2_o10_o18_pcu_sym.54.cif,-1.442220510184955
str_m2_o10_o18_pcu_sym.55.cif,-1.4422205101838377
str_m2_o10_o18_pcu_sym.56.cif,-1.4422205101855647
str_m2_o10_o18_pcu_sym.57.cif,-1.4422205101849577
str_m2_o10_o18_pcu_sym.58.cif,-1.4422205101507044
str_m2_o10_o18_pcu_sym.61.cif,-1.4422205101845358
str_m2_o10_o18_pcu_sym.62.cif,-1.4422205101663232
str_m2_o10_o18_pcu_sym.63.cif,-1.442220510185249
str_m2_o10_o18_pcu_sym.66.cif,-1.4422205101817778
str_m2_o10_o18_pcu_sym.68.cif,-1.4422205101848378
str_m2_o10_o18_pcu_sym.69.cif,-1.4422205101616359
str_m2_o10_o18_pcu_sym.71.cif,-1.44222051017133
str_m2_o10_o18_pcu_sym.72.cif,-1.4422205101632635
str_m2_o10_o18_pcu_sym.74.cif,-1.4422205101745846
str_m2_o10_o18_pcu_sym.79.cif,-1.442220510147498
str_m2_o10_o18_pcu_sym.81.cif,-1.442220510181266
str_m2_o10_o18_pcu_sym.88.cif,-1.4422205101772019
str_m2_o10_o18_pcu_sym.95.cif,-1.442220509944706
str_m2_o10_o18_pcu_sym.96.cif,-1.4422205101855687
str_m2_o10_o18_pcu_sym.98.cif,-1.4422205101467933
str_m2_o10_o18_pcu_sym.99.cif,-1.4422205101855883
str_m2_o10_o21_pcu_sym.116.cif,-1.4422205101852437
str_m2_o10_o23_pcu_sym.223.cif,-1.4422205101851817
str_m2_o10_o23_pcu_sym.225.cif,-1.4422205101855896
str_m2_o10_o25_pcu_sym.107.cif,-1.442220510136751
str_m2_o10_o25_pcu_sym.128.cif,-1.4422205101750585
str_m2_o10_o25_pcu_sym.132.cif,-1.4422205101734922
str_m2_o10_o25_pcu_sym.171.cif,-1.4422205101581196
str_m2_o10_o25_pcu_sym.31.cif,-1.4422205101822534
str_m2_o10_o25_pcu_sym.56.cif,-1.4422205101697765
